date,account_code,account_name,debit_paise,credit_paise,narration,reference
2025-01-08,1100,Bank,112922,0,bank credit,crd_001_acc_00_2025-01-08
2025-01-08,2300,Unreconciled settlements,0,112922,unreconciled,crd_001_acc_00_2025-01-08
2025-01-08,1100,Bank,7183255,0,bank credit,crd_001_acc_01_2025-01-08
2025-01-08,2300,Unreconciled settlements,0,7183255,unreconciled,crd_001_acc_01_2025-01-08
2025-01-08,1100,Bank,564702,0,bank credit,crd_002_acc_00_2025-01-08
2025-01-08,2300,Unreconciled settlements,0,564702,unreconciled,crd_002_acc_00_2025-01-08
2025-01-08,1100,Bank,5270731,0,bank credit,crd_002_acc_01_2025-01-08
2025-01-08,2300,Unreconciled settlements,0,5270731,unreconciled,crd_002_acc_01_2025-01-08
2025-01-08,1100,Bank,214993,0,bank credit,crd_003_acc_00_2025-01-08
2025-01-08,2300,Unreconciled settlements,0,214993,unreconciled,crd_003_acc_00_2025-01-08
2025-01-08,1100,Bank,6707415,0,bank credit,crd_003_acc_01_2025-01-08
2025-01-08,2300,Unreconciled settlements,0,6707415,unreconciled,crd_003_acc_01_2025-01-08
2025-01-09,1100,Bank,733310,0,bank credit,crd_001_acc_00_2025-01-09
2025-01-09,2300,Unreconciled settlements,0,733310,unreconciled,crd_001_acc_00_2025-01-09
2025-01-09,1100,Bank,5964539,0,bank credit,crd_001_acc_01_2025-01-09
2025-01-09,2300,Unreconciled settlements,0,5964539,unreconciled,crd_001_acc_01_2025-01-09
2025-01-09,1100,Bank,71463,0,bank credit,crd_002_acc_00_2025-01-09
2025-01-09,2300,Unreconciled settlements,0,71463,unreconciled,crd_002_acc_00_2025-01-09
2025-01-09,1100,Bank,7741920,0,bank credit,crd_002_acc_01_2025-01-09
2025-01-09,2300,Unreconciled settlements,0,7741920,unreconciled,crd_002_acc_01_2025-01-09
2025-01-09,1100,Bank,116624,0,bank credit,crd_003_acc_00_2025-01-09
2025-01-09,2300,Unreconciled settlements,0,116624,unreconciled,crd_003_acc_00_2025-01-09
2025-01-09,1100,Bank,6815019,0,bank credit,crd_003_acc_01_2025-01-09
2025-01-09,2300,Unreconciled settlements,0,6815019,unreconciled,crd_003_acc_01_2025-01-09
2025-01-10,1100,Bank,60267,0,bank credit,crd_001_acc_00_2025-01-10
2025-01-10,2300,Unreconciled settlements,0,60267,unreconciled,crd_001_acc_00_2025-01-10
2025-01-10,1100,Bank,6279138,0,bank credit,crd_001_acc_01_2025-01-10
2025-01-10,2300,Unreconciled settlements,0,6279138,unreconciled,crd_001_acc_01_2025-01-10
2025-01-10,1100,Bank,789112,0,bank credit,crd_002_acc_00_2025-01-10
2025-01-10,2300,Unreconciled settlements,0,789112,unreconciled,crd_002_acc_00_2025-01-10
2025-01-10,1100,Bank,6858996,0,bank credit,crd_002_acc_01_2025-01-10
2025-01-10,2300,Unreconciled settlements,0,6858996,unreconciled,crd_002_acc_01_2025-01-10
2025-01-10,1100,Bank,372589,0,bank credit,crd_003_acc_00_2025-01-10
2025-01-10,2300,Unreconciled settlements,0,372589,unreconciled,crd_003_acc_00_2025-01-10
2025-01-10,1100,Bank,5757483,0,bank credit,crd_003_acc_01_2025-01-10
2025-01-10,2300,Unreconciled settlements,0,5757483,unreconciled,crd_003_acc_01_2025-01-10
2025-01-13,1100,Bank,421080,0,bank credit,crd_001_acc_00_2025-01-13
2025-01-13,2300,Unreconciled settlements,0,421080,unreconciled,crd_001_acc_00_2025-01-13
2025-01-13,1100,Bank,6925439,0,bank credit,crd_001_acc_01_2025-01-13
2025-01-13,2300,Unreconciled settlements,0,6925439,unreconciled,crd_001_acc_01_2025-01-13
2025-01-13,1100,Bank,71741,0,bank credit,crd_002_acc_00_2025-01-13
2025-01-13,2300,Unreconciled settlements,0,71741,unreconciled,crd_002_acc_00_2025-01-13
2025-01-13,1100,Bank,5345874,0,bank credit,crd_002_acc_01_2025-01-13
2025-01-13,2300,Unreconciled settlements,0,5345874,unreconciled,crd_002_acc_01_2025-01-13
2025-01-13,1100,Bank,5345874,0,bank credit,crd_002_acc_01_2025-01-13_dup
2025-01-13,2300,Unreconciled settlements,0,5345874,unreconciled,crd_002_acc_01_2025-01-13_dup
2025-01-13,1100,Bank,245624,0,bank credit,crd_003_acc_00_2025-01-13
2025-01-13,2300,Unreconciled settlements,0,245624,unreconciled,crd_003_acc_00_2025-01-13
